,Rank,NOC,Gold,Population,Silver,Bronze,Total,Athlete,Female,Male
189,79,Syria,0,18502413,0,0,0,7,3,4
190,79,Taiwan,0,23780000,0,0,0,56,30,26
191,79,Tanzania,0,53470420,0,0,0,7,2,5
192,79,Togo,0,7304578,0,0,0,5,3,2
193,79,Tonga,0,106170,0,0,0,7,3,4
194,79,Turkmenistan,0,5373502,0,0,0,9,5,4
195,79,Uganda,0,39032383,0,0,0,21,7,14
196,79,Uruguay,0,3431555,0,0,0,17,5,12
197,79,Vanuatu,0,264652,0,0,0,4,0,4
198,79,Virgin Islands,0,103574,0,0,0,7,2,5
199,79,Yemen,0,26832215,0,0,0,3,1,2
200,79,Zambia,0,16211767,0,0,0,7,2,5
201,79,Zimbabwe,0,15602751,0,0,0,35,26,9
